"Event","Year","Champion","Country","Time","Minutes"
"Men's open division",1924,"Clarence H. DeMar","United States",02:29:40,149.666666666667
"Men's open division",1925,"Charles L. (Chuck) Mellor","United States",02:33:00,153
"Men's open division",1926,"John C. Miles","Canada",02:25:40,145.666666666667
"Men's open division",1927,"Clarence H. DeMar","United States",02:40:22,160.366666666667
"Men's open division",1928,"Clarence H. DeMar","United States",02:37:07,157.116666666667
"Men's open division",1929,"John C. Miles","Canada",02:33:08,153.133333333333
"Men's open division",1930,"Clarence H. DeMar","United States",02:34:48,154.8
"Men's open division",1931,"James P. Henigan","United States",02:46:45,166.75
"Men's open division",1932,"Paul de Bruyn","Germany",02:33:36,153.6
"Men's open division",1933,"Leslie S. Pawson","United States",02:31:01,151.016666666667
"Men's open division",1934,"Dave Komonen","Canada",02:32:53,152.883333333333
"Men's open division",1935,"John A. Kelley","United States",02:32:07,152.116666666667
"Men's open division",1936,"Ellison M. Brown","United States",02:33:40,153.666666666667
"Men's open division",1937,"Walter Young","Canada",02:33:20,153.333333333333
"Men's open division",1938,"Leslie S. Pawson","United States",02:35:34,155.566666666667
"Men's open division",1939,"Ellison M. Brown","United States",02:28:51,148.85
"Men's open division",1940,"Gerard Cote","Canada",02:28:28,148.466666666667
"Men's open division",1941,"Leslie S. Pawson","United States",02:30:38,150.633333333333
"Men's open division",1942,"Bernard Joseph (Joe) Smith","United States",02:26:51,146.85
"Men's open division",1943,"Gerard Cote","Canada",02:28:25,148.416666666667
"Men's open division",1944,"Gerard Cote","Canada",02:31:50,151.833333333333
"Men's open division",1945,"John A. Kelley","United States",02:30:40,150.666666666667
"Men's open division",1946,"Stylianos Kyriakides","Greece",02:29:27,149.45
"Men's open division",1947,"Yun Bok Suh","Korea",02:25:39,145.65
"Men's open division",1948,"Gerard Cote","Canada",02:31:02,151.033333333333
"Men's open division",1949,"Karl Gosta Leandersson","Sweden",02:31:50,151.833333333333
"Men's open division",1950,"Ki-Yong Ham","Korea",02:32:39,152.65
"Men's open division",1951,"Shigeki Tanaka","Japan",02:27:45,147.75
"Men's open division",1952,"Doroteo Flores","Guatemala",02:31:53,151.883333333333
"Men's open division",1953,"Keizo Yamada","Japan",02:18:51,138.85
"Men's open division",1954,"Veikko Karvonen","Finland",02:20:39,140.65
"Men's open division",1955,"Hideo Hamamura","Japan",02:18:22,138.366666666667
"Men's open division",1956,"Antti Viskari","Finland",02:14:14,134.233333333333
"Men's open division",1957,"John J. Kelley","United States",02:20:05,140.083333333333
"Men's open division",1958,"Franjo Mihalic","Yugoslavia",02:25:54,145.9
"Men's open division",1959,"Eino Oksanen","Finland",02:22:42,142.7
"Men's open division",1960,"Paavo Kotila","Finland",02:20:54,140.9
"Men's open division",1961,"Eino Oksanen","Finland",02:23:39,143.65
"Men's open division",1962,"Eino Oksanen","Finland",02:23:48,143.8
"Men's open division",1963,"Aurele Vandendriessche","Belgium",02:18:58,138.966666666667
"Men's open division",1964,"Aurele Vandendriessche","Belgium",02:19:59,139.983333333333
"Men's open division",1965,"Morio Shigematsu","Japan",02:16:33,136.55
"Men's open division",1966,"Kenji Kimihara","Japan",02:17:11,137.183333333333
"Men's open division",1967,"David C. McKenzie","New Zealand",02:15:45,135.75
"Men's open division",1968,"Amby Burfoot","United States",02:22:17,142.283333333333
"Men's open division",1969,"Yoshiaki Unetani","Japan",02:13:49,133.816666666667
"Men's open division",1970,"Ron Hill","England",02:10:30,130.5
"Men's open division",1971,"Alvaro Mejia","Colombia",02:18:45,138.75
"Men's open division",1972,"Olavi Suomalainen","Finland",02:15:39,135.65
"Men's open division",1973,"Jon Anderson","United States",02:16:03,136.05
"Men's open division",1974,"Neil Cusack","Ireland",02:13:39,133.65
"Men's open division",1975,"Bill Rodgers","United States",02:09:55,129.916666666667
"Men's open division",1976,"Jack Fultz","United States",02:20:19,140.316666666667
"Men's open division",1977,"Jerome Drayton","Canada",02:14:46,134.766666666667
"Men's open division",1978,"Bill Rodgers","United States",02:10:13,130.216666666667
"Men's open division",1979,"Bill Rodgers","United States",02:09:27,129.45
"Men's open division",1980,"Bill Rodgers","United States",02:12:11,132.183333333333
"Men's open division",1981,"Toshihiko Seko","Japan",02:09:26,129.433333333333
"Men's open division",1982,"Alberto Salazar","United States",02:08:52,128.866666666667
"Men's open division",1983,"Greg A. Meyer","United States",02:09:00,129
"Men's open division",1984,"Geoff Smith","England",02:10:34,130.566666666667
"Men's open division",1985,"Geoff Smith","England",02:14:05,134.083333333333
"Men's open division",1986,"Robert de Castella","Australia",02:07:51,127.85
"Men's open division",1987,"Toshihiko Seko","Japan",02:11:50,131.833333333333
"Men's open division",1988,"Ibrahim Hussein","Kenya",02:08:43,128.716666666667
"Men's open division",1989,"Abebe Mekonnen","Ethiopia",02:09:06,129.1
"Men's open division",1990,"Gelindo Bordin","Italy",02:08:19,128.316666666667
"Men's open division",1991,"Ibrahim Hussein","Kenya",02:11:06,131.1
"Men's open division",1992,"Ibrahim Hussein","Kenya",02:08:14,128.233333333333
"Men's open division",1993,"Cosmas Ndeti","Kenya",02:09:33,129.55
"Men's open division",1994,"Cosmas Ndeti","Kenya",02:07:15,127.25
"Men's open division",1995,"Cosmas Ndeti","Kenya",02:09:22,129.366666666667
"Men's open division",1996,"Moses Tanui","Kenya",02:09:15,129.25
"Men's open division",1997,"Lameck Aguta","Kenya",02:10:34,130.566666666667
"Men's open division",1998,"Moses Tanui","Kenya",02:07:34,127.566666666667
"Men's open division",1999,"Joseph Chebet","Kenya",02:09:52,129.866666666667
"Men's open division",2000,"Elijah Lagat","Kenya",02:09:47,129.783333333333
"Men's open division",2001,"Lee Bong-Ju","South Korea",02:09:43,129.716666666667
"Men's open division",2002,"Rodgers Rop","Kenya",02:09:02,129.033333333333
"Men's open division",2003,"Robert Kipkoech Cheruiyot","Kenya",02:10:11,130.183333333333
"Men's open division",2004,"Timothy Cherigat","Kenya",02:10:37,130.616666666667
"Men's open division",2005,"Hailu Negussie","Ethiopia",02:11:45,131.75
"Men's open division",2006,"Robert Kipkoech Cheruiyot","Kenya",02:07:14,127.233333333333
"Men's open division",2007,"Robert Kipkoech Cheruiyot","Kenya",02:14:13,134.216666666667
"Men's open division",2008,"Robert Kipkoech Cheruiyot","Kenya",02:07:46,127.766666666667
"Men's open division",2009,"Deriba Merga","Ethiopia",02:08:42,128.7
"Men's open division",2010,"Robert Kiprono Cheruiyot","Kenya",02:05:52,125.866666666667
"Men's open division",2011,"Geoffrey Mutai","Kenya",02:03:02,123.033333333333
"Men's open division",2012,"Wesley Korir","Kenya",02:12:40,132.666666666667
"Men's open division",2013,"Lelisa Desisa","Ethiopia",02:10:22,130.366666666667
"Men's open division",2014,"Mebrahtom ""Meb"" Keflezighi","United States",02:08:37,128.616666666667
"Men's open division",2015,"Lelisa Desisa","Ethiopia",02:09:17,129.283333333333
"Men's open division",2016,"Lemi Berhanu","Ethiopia",02:12:45,132.75
"Men's open division",2017,"Geoffrey Kirui","Kenya",02:09:37,129.616666666667
"Men's open division",2018,"Yuki Kawauchi","Japan",02:15:58,135.966666666667
"Men's open division",2019,"Lawrence Cherono","Kenya",02:07:57,127.95
